codigo,alvo,evento,particao,h,motor,regime,n,mae_cm,vies_cm,cobertura_pareada
86510000,Muçum,ev20230904,selecao,9,linear,alto,14,544.2451267163634,-544.2451267163634,0.9942528735632185
86510000,Muçum,ev20230904,selecao,9,linear,subida,14,544.2451267163634,-544.2451267163634,0.9942528735632185
86510000,Muçum,ev20230904,selecao,9,gbm_nivel,todos,173,52.59148450499067,-33.28850307030648,0.9942528735632185
86510000,Muçum,ev20230904,selecao,9,gbm_nivel,alto,14,420.4354210980952,-420.4354210980952,0.9942528735632185
86510000,Muçum,ev20230904,selecao,9,gbm_nivel,subida,14,420.4354210980952,-420.4354210980952,0.9942528735632185
86510000,Muçum,ev20230904,selecao,9,gbm_delta,todos,173,54.766458732294765,-38.904546992219394,0.9942528735632185
86510000,Muçum,ev20230904,selecao,9,gbm_delta,alto,14,472.49740994226977,-472.49740994226977,0.9942528735632185
86510000,Muçum,ev20230904,selecao,9,gbm_delta,subida,14,472.49740994226977,-472.49740994226977,0.9942528735632185
86510000,Muçum,ev20230904,selecao,9,persistencia,todos,173,104.2601156069364,-68.6878612716763,0.9942528735632185
86510000,Muçum,ev20230904,selecao,9,persistencia,alto,14,680.3571428571429,-680.3571428571429,0.9942528735632185
86510000,Muçum,ev20230904,selecao,9,persistencia,subida,14,680.3571428571429,-680.3571428571429,0.9942528735632185
86510000,Muçum,ev20230904,selecao,12,linear,todos,170,93.36251911258744,-50.19891740209239,0.9770114942528736
86510000,Muçum,ev20230904,selecao,12,linear,alto,14,662.3179591780581,-662.3179591780581,0.9770114942528736
86510000,Muçum,ev20230904,selecao,12,linear,subida,14,662.3179591780581,-662.3179591780581,0.9770114942528736
86510000,Muçum,ev20230904,selecao,12,gbm_nivel,todos,170,73.37927696248954,-53.700916131298406,0.9770114942528736
86510000,Muçum,ev20230904,selecao,12,gbm_nivel,alto,14,610.7499288494189,-610.7499288494189,0.9770114942528736
86510000,Muçum,ev20230904,selecao,12,gbm_nivel,subida,14,610.7499288494189,-610.7499288494189,0.9770114942528736
86510000,Muçum,ev20230904,selecao,12,gbm_delta,todos,170,71.07786533696328,-51.885545510545214,0.9770114942528736
86510000,Muçum,ev20230904,selecao,12,gbm_delta,alto,14,592.0872290799355,-592.0872290799355,0.9770114942528736
86510000,Muçum,ev20230904,selecao,12,gbm_delta,subida,14,592.0872290799355,-592.0872290799355,0.9770114942528736
86510000,Muçum,ev20230904,selecao,12,persistencia,todos,170,117.02352941176471,-79.65882352941176,0.9770114942528736
86510000,Muçum,ev20230904,selecao,12,persistencia,alto,14,752.7142857142857,-752.7142857142857,0.9770114942528736
86510000,Muçum,ev20230904,selecao,12,persistencia,subida,14,752.7142857142857,-752.7142857142857,0.9770114942528736
86510000,Muçum,ev20230908,selecao,6,linear,todos,253,19.017515180242064,-13.440444271119024,0.965648854961832
86510000,Muçum,ev20230908,selecao,6,linear,alto,131,13.514230983622172,-7.667188601119178,0.965648854961832
86510000,Muçum,ev20230908,selecao,6,linear,subida,33,23.198901515395864,-8.568164551558949,0.965648854961832
86510000,Muçum,ev20230908,selecao,6,gbm_nivel,todos,253,31.589153372900014,-27.97049639523921,0.965648854961832
86510000,Muçum,ev20230908,selecao,6,gbm_nivel,alto,131,32.51316831174656,-27.6157686682135,0.965648854961832
86510000,Muçum,ev20230908,selecao,6,gbm_nivel,subida,33,29.091655193505915,-14.922320542419817,0.965648854961832
86510000,Muçum,ev20230908,selecao,6,gbm_delta,todos,253,13.56923762525397,-2.636105005043036,0.965648854961832
86510000,Muçum,ev20230908,selecao,6,gbm_delta,alto,131,9.728226696706512,-0.7265129583851287,0.965648854961832
86510000,Muçum,ev20230908,selecao,6,gbm_delta,subida,33,10.989868101330584,1.3305713664331362,0.965648854961832
86510000,Muçum,ev20230908,selecao,6,persistencia,todos,253,21.09090909090909,7.335968379446641,0.965648854961832
86510000,Muçum,ev20230908,selecao,6,persistencia,alto,131,38.38167938931298,13.129770992366412,0.965648854961832
86510000,Muçum,ev20230908,selecao,6,persistencia,subida,33,50.24242424242424,-38.42424242424242,0.965648854961832
86510000,Muçum,ev20230908,selecao,9,linear,todos,253,27.72355112834522,-15.88382289015934,0.9583333333333334
86510000,Muçum,ev20230908,selecao,9,linear,alto,134,22.36825918178168,-8.62386950596953,0.9583333333333334
86510000,Muçum,ev20230908,selecao,9,linear,subida,34,38.234015193729995,-8.21081752873944,0.9583333333333334
86510000,Muçum,ev20230908,selecao,9,gbm_nivel,todos,253,37.07242448024414,-29.006029651270293,0.9583333333333334
86510000,Muçum,ev20230908,selecao,9,gbm_nivel,alto,134,36.35959822872975,-24.574773898778886,0.9583333333333334
86510000,Muçum,ev20230908,selecao,9,gbm_nivel,subida,34,27.91818300140496,3.1010486138986435,0.9583333333333334
86510000,Muçum,ev20230908,selecao,9,gbm_delta,todos,253,19.43593376093781,-3.3186191200173396,0.9583333333333334
86510000,Muçum,ev20230908,selecao,9,gbm_delta,alto,134,16.920452604673084,-2.06664354855034,0.9583333333333334
86510000,Muçum,ev20230908,selecao,9,gbm_delta,subida,34,15.347716901725429,1.1169924071026236,0.9583333333333334
86510000,Muçum,ev20230908,selecao,9,persistencia,todos,253,29.363636363636363,11.41897233201581,0.9583333333333334
86510000,Muçum,ev20230908,selecao,9,persistencia,alto,134,52.917910447761194,20.33582089552239,0.9583333333333334
86510000,Muçum,ev20230908,selecao,9,persistencia,subida,34,65.55882352941177,-41.55882352941177,0.9583333333333334
86510000,Muçum,ev20230908,selecao,12,linear,todos,253,34.11346395520498,-16.17333235015335,0.9583333333333334
86510000,Muçum,ev20230908,selecao,12,linear,alto,137,31.01863282324236,-8.596932798276422,0.9583333333333334
86510000,Muçum,ev20230908,selecao,12,linear,subida,34,53.281647027239856,-7.571678534334256,0.9583333333333334
86510000,Muçum,ev20230908,selecao,12,gbm_nivel,todos,253,47.25132859647546,-36.42226296781277,0.9583333333333334
