codigo,alvo,evento,particao,h,motor,ajuste,n,mae_cm,vies_cm,max_erro_cm,regime
86510000,Muçum,ev20230616,desenvolvimento,6,ridge_montante,integral_12h,311,26.320200723885694,0.6836655494805126,172.84143431119992,todos
86510000,Muçum,ev20230616,desenvolvimento,6,ridge_montante,integral_6h,311,28.33528841382323,0.2384112345874259,209.84170649743373,todos
86510000,Muçum,ev20230616,desenvolvimento,6,ridge_montante,meio_12h,311,23.204373237653442,-0.2838616633453141,161.30110063244126,todos
86510000,Muçum,ev20230616,desenvolvimento,6,ridge_montante,meio_6h,311,23.859428297911926,-0.5064888207918593,164.92156421038692,todos
86510000,Muçum,ev20230616,desenvolvimento,6,ridge_montante,original,311,21.971963548992356,-1.2513888761711414,193.84042961351713,todos
86510000,Muçum,ev20230616,desenvolvimento,9,gbm_delta,integral_12h,311,19.09514380436614,-0.06128380571380213,138.27009752981184,todos
86510000,Muçum,ev20230616,desenvolvimento,9,gbm_delta,integral_6h,311,20.119067157673726,-0.06154819953684373,153.66221344325572,todos
86510000,Muçum,ev20230616,desenvolvimento,9,gbm_delta,meio_12h,311,17.686811234725603,-4.90179927170865,141.58987788722158,todos
86510000,Muçum,ev20230616,desenvolvimento,9,gbm_delta,meio_6h,311,17.701611877305087,-4.90193146862017,140.44482469154127,todos
86510000,Muçum,ev20230616,desenvolvimento,9,gbm_delta,original,311,18.980428637036,-9.742314737703497,144.90965824463126,todos
86510000,Muçum,ev20230616,desenvolvimento,9,gbm_postos,integral_12h,311,18.927433659951788,0.12121929602759636,140.1462737548693,todos
86510000,Muçum,ev20230616,desenvolvimento,9,gbm_postos,integral_6h,311,21.41863103436169,0.05498944536792527,140.65413008865778,todos
86510000,Muçum,ev20230616,desenvolvimento,9,gbm_postos,meio_12h,311,16.698699998524102,0.5077717323090546,121.9435949422973,todos
86510000,Muçum,ev20230616,desenvolvimento,9,gbm_postos,meio_6h,311,17.724943543648436,0.47465680697922097,115.07644588972494,todos
86510000,Muçum,ev20230616,desenvolvimento,9,gbm_postos,original,311,15.211606919703577,0.8943241685905128,103.74091612972529,todos
86510000,Muçum,ev20230616,desenvolvimento,9,ridge_montante,integral_12h,311,39.381919606210694,0.7682849765350885,270.51971757953334,todos
86510000,Muçum,ev20230616,desenvolvimento,9,ridge_montante,integral_6h,311,40.86064655383421,0.3334552886940789,307.2088459432707,todos
86510000,Muçum,ev20230616,desenvolvimento,9,ridge_montante,meio_12h,311,34.660436730888364,-0.6504543585027027,296.7567971051632,todos
86510000,Muçum,ev20230616,desenvolvimento,9,ridge_montante,meio_6h,311,34.57426495092119,-0.8678692024232081,289.3310479180226,todos
86510000,Muçum,ev20230616,desenvolvimento,9,ridge_montante,original,311,32.61156640146797,-2.069193693540494,354.6495600435278,todos
86510000,Muçum,ev20230616,desenvolvimento,12,gbm_delta,integral_12h,311,31.138879162197373,-0.07250996896340668,246.24182855990512,todos
86510000,Muçum,ev20230616,desenvolvimento,12,gbm_delta,integral_6h,311,32.658237271428696,-0.13735323708780584,217.7285490768886,todos
86510000,Muçum,ev20230616,desenvolvimento,12,gbm_delta,meio_12h,311,26.699727793199404,-5.547405608020824,198.6615818451021,todos
