particao,alvo,h,regime,MAE_novo_cm,MAE_anterior_cm,ganho_pct
desenvolvimento,Muçum,6,descida,27.328384080908606,27.328384080908606,0.0
desenvolvimento,Muçum,6,rapida,99.37327286459325,99.37327286459325,0.0
desenvolvimento,Muçum,6,subida,59.76659207437751,59.76659207437751,0.0
desenvolvimento,Muçum,6,todos,16.55185105131033,16.55185105131033,0.0
desenvolvimento,Muçum,9,alto,87.10571610859188,87.10571610859188,0.0
desenvolvimento,Muçum,9,descida,56.381259731543594,56.381259731543594,0.0
desenvolvimento,Muçum,9,rapida,156.62556135420417,156.62556135420417,0.0
desenvolvimento,Muçum,9,subida,97.4752968481755,97.4752968481755,0.0
desenvolvimento,Muçum,9,todos,25.32941268146494,25.32941268146494,0.0
desenvolvimento,Muçum,12,alto,115.13018188863907,115.13018188863907,0.0
desenvolvimento,Muçum,12,descida,72.31304394389811,72.31304394389811,0.0
desenvolvimento,Muçum,12,rapida,168.11261955693982,168.11261955693982,0.0
desenvolvimento,Muçum,12,subida,128.26022312878808,128.26022312878808,0.0
desenvolvimento,Muçum,12,todos,35.081986028679474,35.081986028679474,0.0
teste,Encantado,6,alto,28.881842410530776,46.08230302110863,37.32552299458416
teste,Encantado,6,descida,16.146185592737766,27.891372084628344,42.11046504364572
teste,Encantado,6,rapida,35.86527577085954,77.32430674050605,53.617074264602934
teste,Encantado,6,subida,46.15607151599107,70.6542853334152,34.67335873799853
teste,Encantado,6,todos,18.175583516025696,33.37045140012044,45.53389974233283
teste,Encantado,9,alto,49.575696211245486,49.575696211245486,0.0
teste,Encantado,9,descida,19.666148329493346,19.666148329493346,0.0
teste,Encantado,9,rapida,55.68583389053881,55.68583389053881,0.0
teste,Encantado,9,subida,86.81634748891724,86.81634748891724,0.0
teste,Encantado,9,todos,30.706597834002764,30.706597834002764,0.0
teste,Encantado,12,alto,76.34671394533716,76.34671394533716,0.0
teste,Encantado,12,descida,31.47997687434353,31.47997687434353,0.0
teste,Encantado,12,rapida,88.90935017434656,88.90935017434656,0.0
teste,Encantado,12,subida,131.32622114204085,131.32622114204085,0.0
teste,Encantado,12,todos,44.87367589126186,44.87367589126186,0.0
teste,Estrela,6,alto,24.439181429008833,24.439181429008833,0.0
teste,Estrela,6,descida,18.074958182806036,18.074958182806036,0.0
teste,Estrela,6,rapida,38.79278029701833,38.79278029701833,0.0
teste,Estrela,6,subida,31.63928298012547,31.63928298012547,0.0
teste,Estrela,6,todos,18.788194091321532,18.788194091321532,0.0
teste,Estrela,9,alto,40.29869409757277,40.29869409757277,0.0
teste,Estrela,9,descida,23.903125948473733,23.903125948473733,0.0
teste,Estrela,9,rapida,55.7635385450595,55.7635385450595,0.0
teste,Estrela,9,subida,56.721282559964045,56.721282559964045,0.0
teste,Estrela,9,todos,28.984587042950512,28.984587042950512,0.0
teste,Estrela,12,alto,59.65447140902735,59.65447140902735,0.0
teste,Estrela,12,descida,30.50977734373333,30.50977734373333,0.0
teste,Estrela,12,rapida,68.83432032434666,68.83432032434666,0.0
teste,Estrela,12,subida,86.21759794003745,86.21759794003745,0.0
teste,Estrela,12,todos,41.03253579907384,41.03253579907384,0.0
teste,Muçum,6,alto,39.87799674367279,39.87799674367279,0.0
teste,Muçum,6,descida,19.186194842539646,19.186194842539646,0.0
teste,Muçum,6,rapida,55.61139440374882,55.61139440374882,0.0
teste,Muçum,6,subida,58.69107686305134,58.69107686305134,0.0
teste,Muçum,6,todos,22.946900386154073,22.946900386154073,0.0
teste,Muçum,9,alto,63.58571285852272,63.58571285852272,0.0
teste,Muçum,9,descida,52.82909731144256,52.82909731144256,0.0
teste,Muçum,9,rapida,78.44339350276361,78.44339350276361,0.0
teste,Muçum,9,subida,80.6587358479626,80.6587358479626,0.0
teste,Muçum,9,todos,40.722343156479155,40.722343156479155,0.0
teste,Muçum,12,alto,97.36260802749946,97.36260802749946,0.0
teste,Muçum,12,descida,75.01257718269723,75.01257718269723,0.0
teste,Muçum,12,rapida,88.02465680786004,88.02465680786004,0.0
teste,Muçum,12,subida,142.19821380210735,142.19821380210735,0.0
teste,Muçum,12,todos,60.24540136234442,60.24540136234442,0.0
